Ano;Data_Referencia;Empresa;CNPJ;Demonstracao;Categoria;Metrica;Rotulo;Codigo_Conta;Descricao_CVM;Valor_R$_mil;Valor_R$_milhoes;Moeda;Escala_Original;Versao_DFP;Fonte
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Caixa;Caixa e equivalentes;1.01.01;Caixa e Equivalentes de Caixa;2593346,0;2593,346;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Contas_a_Receber;Contas a receber;1.01.03;Contas a Receber;5885450,0;5885,45;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Estoques;Estoques;1.01.04;Estoques;7497299,0;7497,299;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Passivo_Total;Passivo total e patrimônio líquido;2;Passivo Total;37455067,0;37455,067;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Passivo_Circulante;Passivo circulante;2.01;Passivo Circulante;17408127,0;17408,127;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Divida_CP;Empréstimos e financiamentos de curto prazo;2.01.04;Empréstimos e Financiamentos;2954347,0;2954,347;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Divida_LP;Empréstimos e financiamentos de longo prazo;2.02.01;Empréstimos e Financiamentos;4400508,0;4400,508;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Patrimonio_Liquido;Patrimônio líquido consolidado;2.03;Patrimônio Líquido Consolidado;9610534,0;9610,534;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;FCO;Fluxo de caixa operacional;6.01;Caixa Líquido Atividades Operacionais;3354622,0;3354,622;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;FCI;Fluxo de caixa de investimento;6.02;Caixa Líquido Atividades de Investimento;-148400,0;-148,4;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;Capex_Imobilizado;Aquisição de imobilizado;6.02.01;Aquisicao de Imobilizado;-168225,0;-168,225;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;Capex_Intangivel;Aquisição de intangível;6.02.02;Aquisicao de Ativo Intangivel;-472620,0;-472,62;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;FCF;Fluxo de caixa de financiamento;6.03;Caixa Líquido Atividades de Financiamento;-3032921,0;-3032,921;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;Variacao_Caixa;Variação de caixa;6.05;Aumento (Redução) de Caixa e Equivalentes;173301,0;173,301;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Receita;Receita líquida;3.01;Receita de Venda de Bens e/ou Serviços;36768149,0;36768,149;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Custos;Custos dos bens e serviços;3.02;Custo dos Bens e/ou Serviços Vendidos;-26604266,0;-26604,266;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Lucro_Bruto;Lucro bruto;3.03;Resultado Bruto;10163883,0;10163,883;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Despesas_Operacionais;Despesas/receitas operacionais;3.04;Despesas/Receitas Operacionais;-10536031,0;-10536,031;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Resultado_Operacional;Resultado operacional (antes do financeiro e tributos);3.05;Resultado Antes do Resultado Financeiro e dos Tributos;-372148,0;-372,148;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Resultado_Financeiro;Resultado financeiro;3.06;Resultado Financeiro;-1692219,0;-1692,219;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Lucro_Liquido;Lucro/prejuízo consolidado;3.11;Lucro/Prejuízo Consolidado do Período;-979104,0;-979,104;REAL;MIL;1;DFP 2023 - CVM
